;customer_answer;pv_pai;Flag Atraso Transporte2_soma;Flag Atraso Fornecedor3_soma;Flag Atraso Coleta4_soma;Flag Atraso Cliente5_soma;[FLAG]Erro prazo transporte validacao_soma;[FLAG]Cross_soma;[FLAG]Atraso_criacao_OC_soma;[FLAG]Reprogramacao_OC_soma;[FLAG]Atraso Fornecedor_soma;[FLAG] Pratica_indevida_soma;[FLAG] Sac_pos_entrega_soma;[FLAG] Reversa_soma;[FLAG] Mais de uma entrega_soma;[FLAG]Importacao WMS_soma;[FLAG] Recompra_soma;[FLAG] Entrega_Mista_soma;[FLAG] Virada_Faturamento_soma;[FLAG] Atraso limite_soma;[FLAG] Oc sem bip_soma;[FLAG] Insucesso_soma;[FLAG] End. N.Localizado/Ausente_soma;[FLAG] Tempo Habil_soma;[FLAG] Atraso Redespacho_soma;[FLAG] Diarias_soma;[FLAG] Atraso Coletas_soma;[FLAG] Leves_soma;[FLAG] Atraso CD_soma;detrator;neutro;promotor
0;10;28162012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;2;0.0;0;2.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
1;10;28096157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
2;10;27804324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
3;10;28032244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
4;10;28214644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
5;10;28113438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
6;10;28207662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
7;10;28016328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;2;0.0;0;2.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
8;10;27999675;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0.0;2;0.0;0;2.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
9;10;28202218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
10;10;28209638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
11;10;28111976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
