index;customer_answer;pv_pai;Flag Atraso Cliente5_soma;[FLAG] Pratica_indevida_soma;[FLAG] Sac_pos_entrega_soma;[FLAG] Reversa_soma;[FLAG] Recompra_soma;[FLAG] Insucesso_soma;[FLAG] Mais de uma entrega_soma;2;1
1;10;28162012;0;0;0;0;0;0;2;FALSO;0
2;10;28096157;0;0;0;0;0;0;0;FALSO;0
3;10;27804324;0;0;0;0;0;0;0;FALSO;0
4;10;28032244;0;0;0;0;0;0;0;FALSO;0
5;10;28214644;0;0;0;0;0;0;0;FALSO;0
6;10;28113438;0;0;0;0;0;0;0;FALSO;0
7;10;28207662;0;0;0;0;0;0;0;FALSO;0
8;10;28016328;0;0;0;0;0;0;2;FALSO;0
9;10;27999675;0;0;0;0;0;0;2;FALSO;0
10;10;28202218;0;0;0;0;0;0;0;FALSO;0
11;10;28209638;0;0;0;0;0;0;0;FALSO;0
12;10;28111976;0;0;0;0;0;0;0;FALSO;0
13;10;28034378;0;0;0;0;0;0;4;FALSO;0
14;10;28236032;0;0;0;0;0;0;0;FALSO;0
15;10;28362346;0;0;0;0;0;0;1;FALSO;0
16;10;28065414;0;0;0;0;0;0;0;FALSO;0
17;10;28280691;0;0;0;0;0;0;0;FALSO;0
18;10;28196282;0;0;0;0;0;0;1;FALSO;0
19;10;27891766;0;0;0;0;0;0;0;FALSO;0
20;10;27964775;0;0;0;0;0;0;0;FALSO;0
21;10;28135290;0;0;0;0;0;0;0;FALSO;0
22;10;28140271;0;0;0;0;0;0;0;FALSO;0
23;10;27672516;0;0;0;0;0;0;0;FALSO;0
24;10;28006354;0;0;0;0;0;0;0;FALSO;0
25;10;27069400;0;0;0;0;0;0;0;FALSO;0
26;10;28076677;0;0;0;0;0;0;0;FALSO;0
27;10;27805193;0;0;0;0;0;0;3;FALSO;0
28;10;28045497;0;0;0;0;0;0;0;FALSO;0
29;10;28162045;0;0;0;0;0;0;0;FALSO;0
30;10;28210762;0;0;0;0;0;0;0;FALSO;0
31;10;28177522;0;0;0;0;0;0;1;FALSO;0
32;10;27929999;0;0;0;0;0;0;0;FALSO;0
33;10;28102959;0;0;0;0;0;0;0;FALSO;0
34;10;28320140;0;0;0;0;0;0;0;FALSO;0
35;10;28297149;0;0;0;0;0;0;1;FALSO;0
36;10;28217335;0;0;0;0;0;0;2;FALSO;0
37;10;28259940;0;0;0;0;0;0;2;FALSO;0
38;10;28080967;0;0;0;0;0;0;0;FALSO;0
39;10;28312570;0;0;0;0;0;0;0;FALSO;0
40;10;28064905;0;0;0;0;0;0;2;FALSO;0
41;10;28047997;0;0;0;0;0;0;0;FALSO;0
42;10;28331531;0;0;0;0;0;0;1;FALSO;0
43;10;28120155;0;0;0;0;0;0;1;FALSO;0
44;10;27878619;0;0;0;0;0;0;0;FALSO;0
45;10;28001024;0;0;0;0;0;0;0;FALSO;0
46;10;28357538;0;0;0;0;0;0;0;FALSO;0
