RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,810222469;;;;;;;
R-Quadrado;0,656460449;;;;;;;
R-quadrado ajustado;0,656306476;;;;;;;
Erro padrão;0,375670751;;;;;;;
Observações;13394;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;6;3610,18826;601,6980433;4263,476113;0;;;
Resíduo;13387;1889,287401;0,141128513;;;;;
Total;13393;5499,475661;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;9,859622356;0,003430022;2874,506619;0,00%;9,852899028;9,866345685;9,852899028;9,866345685
Flag Atraso Cliente5_soma;-0,062604937;0,007846827;-7,978376596;0,00%;-0,077985825;-0,047224049;-0,077985825;-0,047224049
[FLAG] Pratica_indevida_soma;-5,757122673;0,08896077;-64,71529748;0,00%;-5,931498343;-5,582747002;-5,931498343;-5,582747002
[FLAG] Sac_pos_entrega_soma;-0,435730615;0,028011245;-15,55556017;0,00%;-0,490636611;-0,380824618;-0,490636611;-0,380824618
[FLAG] Reversa_soma;-3,256336459;0,047674276;-68,30384745;0,00%;-3,349784772;-3,162888147;-3,349784772;-3,162888147
[FLAG] Recompra_soma;-1,925591311;0,0252804;-76,1693359;0,00%;-1,975144465;-1,876038156;-1,975144465;-1,876038156
[FLAG] Insucesso_soma;-0,018849438;0,009593672;-1,964778317;4,95%;-0,037654389;-4,44869E-05;-0,037654389;-4,44869E-05
;;;;;;;;
;;;;;;;;
;;;;;;;;
RESULTADOS DE RESÍDUOS;;;;;;;;
;;;;;;;;
92;9,859622356;0,140377644;0,373755738;;;;;
93;9,859622356;0,140377644;0,373755738;;;;;
94;9,859622356;0,140377644;0,373755738;;;;;
95;9,859622356;0,140377644;0,373755738;;;;;
96;9,859622356;0,140377644;0,373755738;;;;;
97;9,859622356;0,140377644;0,373755738;;;;;
98;9,859622356;0,140377644;0,373755738;;;;;
99;9,859622356;0,140377644;0,373755738;;;;;
100;9,859622356;0,140377644;0,373755738;;;;;
101;9,859622356;0,140377644;0,373755738;;;;;
102;9,859622356;0,140377644;0,373755738;;;;;
103;9,859622356;0,140377644;0,373755738;;;;;
104;9,859622356;0,140377644;0,373755738;;;;;
105;9,859622356;0,140377644;0,373755738;;;;;
106;9,859622356;0,140377644;0,373755738;;;;;
107;9,859622356;0,140377644;0,373755738;;;;;
108;9,859622356;0,140377644;0,373755738;;;;;
109;9,859622356;0,140377644;0,373755738;;;;;
110;9,859622356;0,140377644;0,373755738;;;;;
111;9,859622356;0,140377644;0,373755738;;;;;
112;9,859622356;0,140377644;0,373755738;;;;;
113;9,859622356;0,140377644;0,373755738;;;;;
114;9,859622356;0,140377644;0,373755738;;;;;
115;9,859622356;0,140377644;0,373755738;;;;;
116;9,859622356;0,140377644;0,373755738;;;;;
117;9,859622356;0,140377644;0,373755738;;;;;
118;9,859622356;0,140377644;0,373755738;;;;;
119;9,859622356;0,140377644;0,373755738;;;;;
120;9,859622356;0,140377644;0,373755738;;;;;
121;9,859622356;0,140377644;0,373755738;;;;;
122;9,859622356;0,140377644;0,373755738;;;;;
123;9,859622356;0,140377644;0,373755738;;;;;
124;9,859622356;0,140377644;0,373755738;;;;;
125;9,859622356;0,140377644;0,373755738;;;;;
126;9,859622356;0,140377644;0,373755738;;;;;
127;9,859622356;0,140377644;0,373755738;;;;;
